title,stylecode,description,color
Nike Alphafly 3, FD8311-001,"Fine-tuned for marathon speed, the Alphafly 3 helps push you beyond what you thought possible. Three innovative technologies power your run: a double dose of Air Zoom units helps launch you into your next step; a full-length carbon-fibre plate helps propel you forwards with ease; and a heel-to-toe ZoomX foam midsole helps keep you fresh from start to 26.2. Time to leave your old personal records in the dust."," Football Grey,Ghost,Persian Violet,Blue Void"
Nike Vomero 18, HM6803-401,"Maximum cushioning in the Vomero provides a comfortable ride for everyday runs. Our softest, most cushioned ride has lightweight ZoomX foam stacked on top of responsive ReactX foam in the midsole. Plus, a redesigned traction pattern offers a smooth heel-to-toe transition."," Blue Void,Blue Lightning,Bright Crimson,Metallic Silver"
Nike Vomero 18, HM6803-300,"Maximum cushioning in the Vomero provides a comfortable ride for everyday runs. Our softest, most cushioned ride has lightweight ZoomX foam stacked on top of responsive ReactX foam in the midsole. Plus, a redesigned traction pattern offers a smooth heel-to-toe transition."," Barely Green,Hyper Crimson,Barely Volt,Metallic Silver"
Nike Vomero 18, HM6803-100,"Maximum cushioning in the Vomero provides a comfortable ride for everyday runs. Our softest, most cushioned ride has lightweight ZoomX foam stacked on top of responsive ReactX foam in the midsole. Plus, a redesigned traction pattern offers a smooth heel-to-toe transition."," White,Electric Green,Volt,Black"
Nike Vomero 18, HM6803-101,"Maximum cushioning in the Vomero provides a comfortable ride for everyday runs. Our softest, most cushioned ride has lightweight ZoomX foam stacked on top of responsive ReactX foam in the midsole. Plus, a redesigned traction pattern offers a smooth heel-to-toe transition."," Summit White,Coconut Milk,Coconut Milk,Black"
Nike Vomero 18, HM6803-005,"Maximum cushioning in the Vomero provides a comfortable ride for everyday runs. Our softest, most cushioned ride has lightweight ZoomX foam stacked on top of responsive ReactX foam in the midsole. Plus, a redesigned traction pattern offers a smooth heel-to-toe transition."," Black,Dark Smoke Grey,Light Smoke Grey,Black"
Nike Pegasus 41, FD2722-001,"Responsive cushioning in the Pegasus provides an energised ride for everyday road running. Experience lighter-weight energy return with dual Air Zoom units and a ReactX foam midsole. Plus, improved engineered mesh on the upper decreases weight and increases breathability."," Black,Anthracite,Black"
Nike Zoom Fly 6 'Jakob Ingebrigtsen', HQ3043-200,"Jakob Ingebrigtsen's subtly brilliant Zoom Fly 6 is synonymous with his style and focuses on what matters most: finishing first. Lighter than the Zoom Fly 5, its responsive ZoomX foam adds energy return to each stride, while a carbon-fibre plate helps propel him to the finishing line."," Medium Ash,Summit White,Light Silver,Metallic Gold Grain"
Nike Vaporfly 4, HF6414-100,"The Vaporfly 4 is a lean, mean, mile-eating machine. We trimmed weight in the midsole, outsole and upper from the Vaporfly 3, without sacrificing performance. The result is a lighter, more propulsive all-round racing shoe that's trusted from the mile to the marathon."," White,Obsidian Mist,Pure Platinum,Gridiron"
Nike Streakfly 2, HF6416-100,"The Streakfly 2 can help you out-kick the opposition on race day. This speedster now comes with a carbon-fibre Flyplate, complementing the ultra-responsive ZoomX foam midsole and minimal upper you loved on the original. From the 10K to the mile, it can help you take your distances to the next level."," White,Obsidian Mist,Pure Platinum,Gridiron"
